STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
90180038603015,'1.4 MI N INT SH 22',31.9414166666667,-97.6693194444444,"31.941417, -97.669319",1957,7,1940,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.941417,-97.669319"
90180038603016,'2 MI N INT SH 22',31.9491138888889,-97.6711416666667,"31.949114, -97.671142",1957,7,1940,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.949114,-97.671142"
90180038603017,'4.4 MI N INT SH 22',31.9795027777778,-97.6899583333333,"31.979503, -97.689958",1957,7,1378,14.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.979503,-97.689958"
90180038604010,'0.5 MI S OF SH 22',31.9161194444444,-97.641325,"31.916119, -97.641325",1940,7,616,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.916119,-97.641325"
90180038604011,'3.2 MI S INT SH 22',31.8829805555556,-97.6186222222222,"31.882981, -97.618622",1956,7,616,17.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.882981,-97.618622"
90180038604012,'4.2 MI S INT SH 22',31.8737027777778,-97.6066,"31.873703, -97.606600",1956,7,460,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.873703,-97.606600"
90180038604013,'4.9 MI S INT SH 22',31.8654222222222,-97.6029527777778,"31.865422, -97.602953",1956,7,460,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.865422,-97.602953"
90180038604014,'2.0 MI NW OF JCT FM 219',31.8120305555556,-97.58155,"31.812031, -97.581550",1956,7,460,19.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.812031,-97.581550"
90180039801021,'5.9 MI N OF SH 6',31.7383861111111,-97.4576111111111,"31.738386, -97.457611",1948,7,1036,15.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.738386,-97.457611"
90180039801022,'7.6 MI N OF SH 6',31.7632083333333,-97.4614777777778,"31.763208, -97.461478",1948,7,1036,15.0,99.99,,0.0,0.0,0.0,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.763208,-97.461478"
