STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,bridge_hurricane_category,damage_level,max_sustained_wind_kt_nearby,max_sustained_wind_mph_nearby,V_des_hurr,V_scour_hurr,V_age_hurr,Risk_hurricane,Risk_Level,Risk_Explanation,Street_View_URL
180570V00100002,'0.8 MI N OF SANDY LAKE RD',32.98109166666667,-96.99348888888888,"32.981092, -96.993489",1999,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.981092,-96.993489"
180570S00600011,'0.4 MI E OF US 67',32.561702777777775,-96.9637,"32.561703, -96.963700",1987,0,No Risk,28.0,32.22184,1.0,1.2,1.0857142857142856,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.561703,-96.963700"
180570S00605001,'0.7 MI S  OF US 67',32.56749444444445,-96.9594888888889,"32.567494, -96.959489",1960,0,No Risk,28.0,32.22184,1.0,1.2,1.8571428571428568,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.567494,-96.959489"
180570S00620002,'0.7 MI NE OF ANDERSON RD',32.58573611111111,-97.00052222222222,"32.585736, -97.000522",2017,0,No Risk,28.0,32.22184,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.585736,-97.000522"
180570S00620003,'0.7 MI NE OF ANDERSON RD',32.585775000000005,-97.00060277777776,"32.585775, -97.000603",2017,0,No Risk,28.0,32.22184,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.585775,-97.000603"
180570S00625001,'0.1 MI S OF BEAR CREEK',32.559308333333334,-96.8910527777778,"32.559308, -96.891053",1987,0,No Risk,28.0,32.22184,1.0,0.4,1.0857142857142856,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.559308,-96.891053"
180570V00253002,'0.65 MI N OF BETHEL ROAD',32.962763888888894,-97.02666944444444,"32.962764, -97.026669",1986,0,No Risk,25.0,28.7695,1.0,0.4,1.1142857142857143,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.962764,-97.026669"
180570V00253003,'0.6 MI N OF IH 635',32.954747222222224,-97.02208611111112,"32.954747, -97.022086",1998,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.954747,-97.022086"
180570V00254001,'At Intersection S Royal L',32.95033611111111,-97.02250277777776,"32.950336, -97.022503",2019,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.950336,-97.022503"
180570V00275001,'1.3 MI W of PGBT',32.96763888888889,-96.95306666666669,"32.967639, -96.953067",2001,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.967639,-96.953067"
180570V00300002,'0.4 MI S OF SANDY LAKE RD',32.96743055555556,-97.01506666666668,"32.967431, -97.015067",2015,0,No Risk,25.0,28.7695,2.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.967431,-97.015067"
180570V00107005,'0.3 MI SE OF HWY 121',32.97733055555556,-97.016275,"32.977331, -97.016275",2017,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.977331,-97.016275"
180570V00318001,'0.1 MI E OF N COPPELL LN',32.98119166666667,-97.01049166666668,"32.981192, -97.010492",2002,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.981192,-97.010492"
180570V00328001,'0.25 MI SE of SH 121 FR',32.98715555555555,-97.0051111111111,"32.987156, -97.005111",2015,0,No Risk,25.0,28.7695,1.0,0.4,1.0,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.987156,-97.005111"
180570V00197005,'1.8 M NW OF SANDY LAKE RD',32.988930555555555,-96.97371944444444,"32.988931, -96.973719",1988,0,No Risk,25.0,28.7695,2.0,0.4,1.0571428571428572,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.988931,-96.973719"
180570V00197006,'1.8 M NW OF SANDY LAKE RD',32.9891,-96.97385555555556,"32.989100, -96.973856",1988,0,No Risk,25.0,28.7695,2.0,0.4,1.0571428571428572,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.989100,-96.973856"
180570V00210001,'0.1 MI N OF BELT LINE RD',32.95606111111111,-96.97670555555555,"32.956061, -96.976706",1987,0,No Risk,25.0,28.7695,2.0,0.4,1.0857142857142856,0.0,All Bridges,,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.956061,-96.976706"
